Start time: 2023-12-07 11:14:50.816191
2023-12-07 11:14:50.816191: Server is listening...
2023-12-07 11:14:52.161921: Accepted connection from ('172.31.8.111', 58486)
2023-12-07 11:14:57.355198: Accepted connection from ('172.31.8.111', 55132)
2023-12-07 11:14:59.146596: Accepted connection from ('59.22.140.243', 36523)
2023-12-07 11:15:00.562431: Accepted connection from ('59.22.140.243', 12265)
2023-12-07 11:15:00.563310: Send client list to <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('172.31.8.111', 8888), raddr=('172.31.8.111', 58486)>
2023-12-07 11:15:00.563888: Send client list to <socket.socket fd=7, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('172.31.8.111', 8888), raddr=('59.22.140.243', 36523)>
2023-12-07 11:15:00.563820: Send client list to <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('172.31.8.111', 8888), raddr=('172.31.8.111', 55132)>
2023-12-07 11:15:00.564360: Send client list to <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('172.31.8.111', 8888), raddr=('59.22.140.243', 12265)>
2023-12-07 11:15:01.730591: Received client info Client (59.22.140.243, 5003): 103e97e3e82d5d2701e487f60175070e
2023-12-07 11:15:01.737267: Received client info Client (59.22.140.243, 5004): 386cbd00333b04efc2d60202df709ade
2023-12-07 11:15:01.794620: Received client info Client (3.38.191.66, 5001): db386d262ce1e7c3152f273f42819f9f
2023-12-07 11:15:01.800324: Received client info Client (3.38.191.66, 5002): 9b536092ed3164f3e276124aa19caa09
2023-12-07 11:15:01.800605: Send client info -> Client (3.38.191.66, 5001) ['db386d262ce1e7c3152f273f42819f9f'] Client (3.38.191.66, 5002) ['9b536092ed3164f3e276124aa19caa09'] Client (59.22.140.243, 5003) ['103e97e3e82d5d2701e487f60175070e'] Client (59.22.140.243, 5004) ['386cbd00333b04efc2d60202df709ade']
2023-12-07 11:15:01.800793: Send client info -> Client (3.38.191.66, 5001) ['db386d262ce1e7c3152f273f42819f9f'] Client (3.38.191.66, 5002) ['9b536092ed3164f3e276124aa19caa09'] Client (59.22.140.243, 5003) ['103e97e3e82d5d2701e487f60175070e'] Client (59.22.140.243, 5004) ['386cbd00333b04efc2d60202df709ade']
2023-12-07 11:15:01.801009: Send client info -> Client (3.38.191.66, 5001) ['db386d262ce1e7c3152f273f42819f9f'] Client (3.38.191.66, 5002) ['9b536092ed3164f3e276124aa19caa09'] Client (59.22.140.243, 5003) ['103e97e3e82d5d2701e487f60175070e'] Client (59.22.140.243, 5004) ['386cbd00333b04efc2d60202df709ade']
2023-12-07 11:15:01.801151: Send client info -> Client (3.38.191.66, 5001) ['db386d262ce1e7c3152f273f42819f9f'] Client (3.38.191.66, 5002) ['9b536092ed3164f3e276124aa19caa09'] Client (59.22.140.243, 5003) ['103e97e3e82d5d2701e487f60175070e'] Client (59.22.140.243, 5004) ['386cbd00333b04efc2d60202df709ade']
2023-12-07 11:15:02.885305: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 1, chunk_list3_len: 0
2023-12-07 11:15:02.886688: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 1, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:03.186125: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 2, chunk_list3_len: 0
2023-12-07 11:15:03.187412: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 2, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:03.486890: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 3, chunk_list3_len: 0
2023-12-07 11:15:03.488089: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 3, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:03.788115: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 4, chunk_list3_len: 0
2023-12-07 11:15:03.788859: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 4, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:03.841022: client3 md5 - 103e97e3e82d5d2701e487f60175070e, chunk_list1_len: 1, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:03.897857: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 4, chunk_list3_len: 1
2023-12-07 11:15:04.089045: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 5, chunk_list3_len: 1
2023-12-07 11:15:04.089930: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 5, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:04.151963: client3 md5 - 103e97e3e82d5d2701e487f60175070e, chunk_list1_len: 2, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:04.198587: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 5, chunk_list3_len: 2
2023-12-07 11:15:04.390257: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 6, chunk_list3_len: 2
2023-12-07 11:15:04.391025: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 6, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:04.468255: client3 md5 - 103e97e3e82d5d2701e487f60175070e, chunk_list1_len: 3, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:04.499380: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 6, chunk_list3_len: 3
2023-12-07 11:15:04.691431: client1 md5 - db386d262ce1e7c3152f273f42819f9f, chunk_list1_len: 0, chunk_list2_len: 7, chunk_list3_len: 3
2023-12-07 11:15:04.692130: client2 md5 - 9b536092ed3164f3e276124aa19caa09, chunk_list1_len: 7, chunk_list2_len: 0, chunk_list3_len: 0
2023-12-07 11:15:04.770057: client3 md5 - 103e97e3e82d5d2701e487f60175070e, chunk_list1_len: 4, chunk_list2_len: 0, chunk_list3_len: 0
